停留所コード,停留所名,URL
05094,大高橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05094
05095,大高緑地西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05095
05097,大高緑地西口,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05097
05100,大塚,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05100
05105,大津通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05105
05110,大津橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05110
05115,大坪小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05115
05117,大坪二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05117
05120,大手橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05120
05125,おおね荘,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05125
05128,おおね荘東,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05128
05132,大野木二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05132
05135,大野木四丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05135
05140,大野木五丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05140
05145,大針,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05145
05150,大治西条,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05150
05155,大治役場前,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05155
05160,大牧町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05160
05165,大宮町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05165
05170,大森,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05170
05175,大森霞ケ丘,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05175
05180,大森口,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05180
05185,大森車庫,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05185
05190,大森住宅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05190
05193,大森四丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05193
