route_id,route_name,系統名,運行区間
,,上社11,上社　ー　上社　(ノンステップ)
,,上社11,上社　ー　若葉台　(ノンステップ)
,,上社11,若葉台　ー　上社　(ノンステップ)
,,上社12,上社　ー　緑ケ丘住宅　(ノンステップ)
,,上社12,上社　ー　緑ケ丘住宅　(ノンステップ)
,,上社12,上社　ー　緑ケ丘住宅　(ノンステップ)
,,上社12,上社　ー　緑ケ丘住宅　(ノンステップ)
,,植田11,地下鉄植田　ー　地下鉄鳴子北　(ノンステップ)
,,植田11,地下鉄植田　ー　野並　(ノンステップ)
,,植田12,地下鉄植田　ー　地下鉄植田　(ノンステップ)
,,植田12,地下鉄植田　ー　地下鉄植田　(ノンステップ)
,,植田12,地下鉄植田　ー　地下鉄植田　(ノンステップ)
,,植田12,地下鉄植田　ー　地下鉄植田　(ノンステップ)
,,新瑞12,新瑞橋　ー　地下鉄徳重　(ノンステップ)
,,新瑞13,新瑞橋　ー　新瑞橋　(ノンステップ)
,,新瑞13,新瑞橋　ー　鳴尾車庫　(ノンステップ)
,,新瑞13,鳴尾車庫　ー　新瑞橋　(ノンステップ)
,,新瑞14,新瑞橋　ー　ワイルドフラワーガーデン　(ノンステップ)
,,新瑞14,新瑞橋　ー　大江町　(ノンステップ)
,,新瑞14,新瑞橋　ー　鳴尾車庫　(ノンステップ)
,,新瑞15,新瑞橋　ー　地下鉄鳴子北　(ノンステップ)
,,森.郷,大森車庫　ー　本郷　(ノンステップ)
,,森.新,大森車庫　ー　新守山駅　(ノンステップ)
,,森.新,大森車庫　ー　新守山駅　(ノンステップ)
,,森.藤,大森車庫　ー　藤が丘　(ノンステップ)
,,森.緑,大森車庫　ー　緑ケ丘住宅　(ノンステップ)
,,深夜1,栄　ー　藤が丘　(ノンステップ)
,,深夜2,栄　ー　地下鉄高畑　(ノンステップ)
,,深夜2,ゆとりーとライン
,,深夜2,印場　ー　高蔵寺　(リフトバス)
,,深夜2,大曽根　ー　中志段味　(リフトバス)
,,深夜2,大曽根　ー　中志段味　(リフトバス)
,,深夜2,大曽根　ー　小幡緑地　(リフトバス)
,,深夜2,大曽根　ー　高蔵寺　(リフトバス)
,,神宮11,名鉄神宮前　ー　島田一ツ山　(ノンステップ)
,,神宮11,名鉄神宮前　ー　相生山住宅　(ノンステップ)
,,神宮11,新瑞橋　ー　島田一ツ山　(ノンステップ)
,,神宮12,神宮東門　ー　鳴尾車庫　(ノンステップ)
,,神宮15,神宮東門　ー　要町　(ノンステップ)
,,神宮15,神宮東門　ー　鳴尾車庫　(ノンステップ)
,,神宮16,神宮東門　ー　神宮東門　(ノンステップ)
,,神宮16,神宮東門　ー　笠寺駅　(ノンステップ)
,,神宮16,笠寺駅　ー　神宮東門　(ノンステップ)
,,吹上11,吹上　ー　大曽根　(ノンステップ)
,,吹上11,御器所通　ー　大曽根　(ノンステップ)
,,瑞穂巡回,新瑞橋　ー　新瑞橋　(ノンステップ)
,,星丘11,星ケ丘　ー　地下鉄自由ケ丘　(ノンステップ)
,,星丘11,猪高車庫　ー　地下鉄自由ケ丘　(ノンステップ)
,,星丘12,星ケ丘　ー　地下鉄植田　(ノンステップ)
,,星丘13,星ケ丘　ー　杁中　(ノンステップ)
,,西巡回,栄　ー　栄　(ノンステップ)
,,千種11,千種駅前　ー　砂田橋　(ノンステップ)
,,千種13,千種駅前　ー　緑ケ丘住宅　(ノンステップ)
,,千種13,千種駅前　ー　緑ケ丘住宅　(ノンステップ)
,,千種巡回,地下鉄自由ケ丘　ー　地下鉄自由ケ丘　(ノンステップ)
,,曽根11,大曽根　ー　印場駅　(ノンステップ)
,,曽根11,大曽根　ー　緑ケ丘住宅　(ノンステップ)
,,曽根13,上飯田　ー　味鋺住宅　(ノンステップ)
,,曽根13,上飯田　ー　喜惣治一丁目　(ノンステップ)
,,曽根13,上飯田　ー　如意車庫前　(ノンステップ)
,,曽根13,大曽根　ー　如意車庫前　(ノンステップ)
,,相生11,地下鉄相生山　ー　大清水　(ノンステップ)
,,相生11,島田住宅　ー　大清水　(ノンステップ)
,,地鳴.瑞,地下鉄鳴子北　ー　瑞穂運動場東　(ノンステップ)
,,池下11,池下　ー　猪高車庫　(ノンステップ)
,,池下11,池下　ー　猪高車庫　(ノンステップ)
,,池下11,池下　ー　猪高車庫　(ノンステップ)
,,茶屋11,茶屋ケ坂　ー　緑ケ丘住宅　(ノンステップ)
,,茶屋12,池下　ー　汁谷東　(ノンステップ)
,,茶屋12,池下　ー　猪子石団地　(ノンステップ)
,,茶屋12,茶屋ケ坂　ー　猪子石団地　(ノンステップ)
,,中.港,中川車庫前　ー　港区役所　(ノンステップ)
,,中.地高,地下鉄高畑　ー　中川車庫前　(ノンステップ)
,,中.畑,地下鉄高畑　ー　中川車庫前　(ノンステップ)
,,中巡回,栄　ー　金山　(ノンステップ)
,,中川巡回,地下鉄高畑　ー　地下鉄高畑　(ノンステップ)
,,中村11,中村公園　ー　春田駅　(ノンステップ)
,,中村11,中村公園　ー　横井町　(ノンステップ)
,,中村12,中村公園　ー　服部　(ノンステップ)
,,中村13,中村公園　ー　稲西車庫　(ノンステップ)
,,中村13,稲西車庫　ー　稲西車庫　(ノンステップ)
,,中村14,中村公園　ー　大治西条　(ノンステップ)
,,中村巡回,本陣　ー　稲西車庫　(ノンステップ)
,,猪.星,猪高車庫　ー　星ケ丘　(ノンステップ)
,,猪.星,猪高車庫　ー　星ケ丘　(ノンステップ)
,,猪.名,猪高車庫　ー　名古屋大学　(ノンステップ)
,,猪.名,猪高車庫　ー　妙見町　(ノンステップ)
,,鶴舞11,鶴舞公園前　ー　上飯田　(ノンステップ)
,,天白巡回,地下鉄植田　ー　地下鉄植田　(ノンステップ)
,,東海11,港区役所　ー　南陽交通広場　(ノンステップ)
